Date,Route,Rating,Notes,URL,Pitches,Location,"Avg Stars","Your Stars",Style,"Lead Style","Route Type","Your Rating",Length,"Rating Code"
2024-11-10,Spice,5.11b,"Intro moves are so fun. Clip roof bolt before moving from horizontal. LH to far left sidepull, LF up to higher pad, RH to small crimp bump to jug. LF toehook to get LH match, move up right foot to close feet. RH to R side crimp, match with LH, high LF on jug then push to RH jug. Match, smear RF up to high LH jug.",https://www.mountainproject.com/route/106461151/spice,2,"West Virginia > The New River Gorge Region > Summersville (Gauley River) Area > Summersville Lake (main) > The Long Wall",2.2,-1,Lead,Fell/Hung,Sport,,60,4900
2024-11-10,"She Got the Bosch, I Got Drilled",5.10a,"Cold temps and clouds help with the sweat. Great LH hand jam below roof crux with OK head jam. at crux: RH sidepull out of roof, LH to good crimp. Move RH to small chickenhead, move up with feet and throw LH to jug chickenhead. Jughaul to the top.",https://www.mountainproject.com/route/106002567/she-got-the-bosch-i-got-drilled,1,"West Virginia > The New River Gorge Region > Summersville (Gauley River) Area > Summersville Lake (main) > Orange Oswald Wall",3.2,-1,Lead,Redpoint,Sport,,90,2600
2024-11-10,"The Hell With That",5.9,"1 fall after the first bolt, slopers are bad, have good feet. No jams, only sidepull and compression with the crack. Good holds on right face. Beautiful jams in horizontal slot below 3rd bolt.",https://www.mountainproject.com/route/106942184/the-hell-with-that,1,"West Virginia > The New River Gorge Region > Summersville (Gauley River) Area > Summersville Lake (main) > Orange Oswald Wall",2.9,-1,Follow,,Trad,,,2400
2024-11-09,"Strike A Scowl",5.10b,"Climbing out of the gorge in the dark with a headlamp on. 1 hang, missed jug slot.",https://www.mountainproject.com/route/105963042/strike-a-scowl,1,"West Virginia > The New River Gorge Region > New River Gorge Proper > Endless Wall > G) Diamond Point",3.3,-1,Follow,,Sport,,75,2900
2024-11-09,"Flash Point",5.11d,"At first, blind deadpoint use right foot for left hand throw off of right hand sidepull. High left foot on next big throw, step on brown part with right foot.",https://www.mountainproject.com/route/105997956/flash-point,1,"West Virginia > The New River Gorge Region > New River Gorge Proper > Endless Wall > F) Flash Point Area",3.7,-1,TR,,Sport,,100,5500
2024-11-09,"What a Jam",5.9,"1 hang at the wide section. Get a higher left foot by snaking the right foot in to the crack. Get to thin spot.",https://www.mountainproject.com/route/106001159/what-a-jam,1,"West Virginia > The New River Gorge Region > New River Gorge Proper > Endless Wall > K) Scream Seam Area",3.2,-1,Follow,,Trad,,70,2400
2024-11-09,Fantasy,5.8,"Wonderful. Use more feet in crack. Can fit .4 in horizontal immediately after the boulder intro.",https://www.mountainproject.com/route/106155521/fantasy,1,"West Virginia > The New River Gorge Region > New River Gorge Proper > Endless Wall > M) Fantasy Area",3.6,4,Lead,Redpoint,Trad,,120,2100
2024-11-09,"The Grafenburg Crack",5.9-,"Lots of fun. Should come back for the lead. Good pro before the low crux.",https://www.mountainproject.com/route/106155527/the-grafenburg-crack,1,"West Virginia > The New River Gorge Region > New River Gorge Proper > Endless Wall > L) Dr. Ruth's Big Buttress",2.8,-1,Follow,,Trad,,80,2300
2024-11-03,"Low Gear",V3,"Nice warmup",https://www.mountainproject.com/route/120456094/low-gear,1,"West Virginia > Northern WV > Coopers Rock State Forest > Furnace Road Areas > Greenbrier Boulders > Tractor Trailer Boulder",3.8,4,Send,,Boulder,V2,,20300
2024-11-02,"Big Block Nose",V4,"Can do every move except for the starting throw",https://www.mountainproject.com/route/118911430/big-block-nose,1,"West Virginia > Northern WV > Coopers Rock State Forest > Upper Rock City > The Forgotten Block Area > Forgotten Block",3.1,-1,Attempt,,Boulder,,,20400
2024-11-02,Ghoul,V1-2,"Nice gritty undulating crack",https://www.mountainproject.com/route/112375749/ghoul,1,"West Virginia > Northern WV > Coopers Rock State Forest > Upper Rock City > Tomb Raider Area > Tomb Raider",2.5,-1,Attempt,,Boulder,,,20150
2024-11-02,"Air Space",V1,,https://www.mountainproject.com/route/117534654/air-space,1,"West Virginia > Northern WV > Coopers Rock State Forest > Roadside > First Set Boulders > Air Space Boulder",2.0,2,Send,,Boulder,,,20100
2024-11-02,"No Scope",V2,"Hardest moves at the bottom. Trust the one smeary foot on the top.",https://www.mountainproject.com/route/112030086/no-scope,1,"West Virginia > Northern WV > Coopers Rock State Forest > Roadside > First Set Boulders > Air Space Boulder",1.6,-1,Flash,,Boulder,,,20200
2024-11-02,Kaleidoscope,V2-,"If you are stopping at Air space boulder or warmup boulder this is worth your time.",https://www.mountainproject.com/route/115967002/kaleidoscope,1,"West Virginia > Northern WV > Coopers Rock State Forest > Roadside > First Set Boulders > Air Space Boulder",2.6,3,Send,,Boulder,V2,8,20170
